Song_Id,track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,release_date,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,log_streams,trending,trend_score
2358,Hey Mor,"Ozuna, Feid",2,4637,38,674072710.0,63,79,89,11,16.0,98,C#,Minor,2022-10-06,90.0,40.0,59.0,0.0,0.0,10.0,29.0,20.32884854287993,False,0.13
2457,Yellow,Chris Molitor,1,31358,43,1755214421.0,196,2,4053,5,0.0,173,B,Major,1999-01-01,86.0,86.0,79.0,11.0,0.0,8.0,9.0,21.28585686417892,True,0.94
2457,Yellow,Chris Molitor,1,31358,43,1755214421.0,196,2,4053,5,0.0,173,B,Major,1999-01-01,85.0,81.0,67.0,26.0,0.0,12.0,5.0,21.28585686417892,True,0.95
2457,Yellow,Chris Molitor,1,31358,43,1755214421.0,196,2,4053,5,0.0,173,B,Major,1999-01-01,43.0,28.0,66.0,0.0,1.6225165562913908,23.0,3.0,21.28585686417892,True,0.97
2413,Karma,Taylor Swift,1,3818,23,404562836.0,37,55,32,0,272.0,90,G#,Major,2022-10-21,64.0,10.0,62.0,7.0,0.0,48.0,7.0,19.818317627268264,False,0.07
2852,People,Libianca,1,3506,56,373199958.0,105,64,169,8,529.0,198,A#,Minor,2022-12-02,59.0,71.0,42.0,55.0,0.0,10.0,7.0,19.737624917076793,False,0.09
4594,Overdrive,Post Malone,1,410,36,14780425.0,36,32,31,1,26.0,140,C#,Major,2023-07-14,56.0,48.0,73.0,0.0,0.0,35.0,4.0,16.508814295802388,False,0.01
2011,Enchanted (Taylor's Version),Taylor Swift,1,148,24,39578178.0,32,93,8,2,5.0,82,G#,Major,2023-07-07,51.0,22.0,64.24366041896361,1.0,0.0,15.0,3.0,17.4937884889954,False,0.02
4507,BABY HELLO,"Rauw Alejandro, Bizarrap",2,1004,35,54266102.0,42,80,58,3,169.0,130,C#,Minor,2023-06-23,77.0,84.0,89.0,17.0,0.0,43.0,5.0,17.809410335832773,False,0.01
3869,Heat Waves,Glass Animals,1,22543,63,2557975762.0,386,144,707,28,0.0,81,B,Major,2020-06-28,76.0,53.0,53.0,44.0,0.0,9.0,9.0,21.66248206507772,True,0.99
4063,golden hour,JVKE,1,4511,36,751134527.0,70,58,109,18,230.0,94,C#,Minor,2022-07-15,51.0,14.0,59.0,65.0,18.0,25.0,3.0,20.437095325510455,False,0.14
3790,Sweater Weather,The Neighbourhood,1,16413,61,2282771485.0,166,87,1056,1,0.0,124,A#,Major,2012-05-14,70.0,65.0,64.24366041896361,1.0,0.0,34.0,4.0,21.548656105748044,True,0.95
3790,Sweater Weather,The Neighbourhood,1,16413,61,2282771485.0,166,87,1056,1,0.0,124,A#,Major,2012-05-14,61.0,41.0,81.0,5.0,2.0,10.0,3.0,21.548656105748044,True,0.96
2622,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,8506,45,1356565093.0,94,65,164,14,176.0,128,D,Major,2022-07-06,62.0,55.0,78.0,1.0,3.0,23.0,4.0,21.02822167564249,True,0.65
2545,Viva La Vida,Coldplay,1,33898,62,1592909789.0,233,0,4095,9,0.0,138,F,Minor,2008-01-01,49.0,42.0,62.0,9.0,0.0,11.0,3.0,21.188828237268957,True,0.97
2719,Here With Me,d4vd,1,3246,23,635412045.0,94,85,68,1,84.0,132,E,Major,2022-07-17,71.0,55.0,26.0,85.0,0.0,13.0,8.0,20.269784237756593,False,0.05
2719,Here With Me,d4vd,1,3246,23,635412045.0,94,85,68,1,84.0,132,E,Major,2022-07-17,66.94701986754967,27.0,48.0,50.0,0.0,12.0,3.0,20.269784237756593,False,0.04
2719,Here With Me,d4vd,1,3246,23,635412045.0,94,85,68,1,84.0,132,E,Major,2022-07-17,80.0,21.0,64.24366041896361,1.0,0.0,26.0,17.0,20.269784237756593,False,0.03
2159,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,8576,42,1230675890.0,216,108,331,26,154.0,131,D,Major,2022-09-22,71.0,24.0,47.0,1.0,0.0,27.0,9.0,20.930829360286268,True,0.77
2434,Yandel 150,"Yandel, Feid",2,3618,38,585695368.0,47,74,80,14,194.0,168,F#,Minor,2022-12-20,78.0,58.0,73.0,5.0,0.0,10.0,7.0,20.188310364250537,False,0.04
2434,Yandel 150,"Yandel, Feid",2,3618,38,585695368.0,47,74,80,14,194.0,168,F#,Minor,2022-12-20,84.0,33.0,36.0,2.0,0.0,39.0,59.0,20.188310364250537,False,0.05
4139,CORAZï¿½ï¿½N VA,Maria Becerra,1,370,20,43857627.0,12,16,18,4,93.0,98,C#,Major,2023-06-22,68.0,40.0,79.0,33.0,0.0,30.0,6.0,17.596459218324227,False,0.01
4419,Riptide,Vance Joy,1,31123,55,2009094673.0,300,65,1003,1,0.0,102,C#,Major,1975-01-01,70.0,84.0,90.0,26.994487320837926,0.0,41.0,6.0,21.420950046606645,True,0.97
4419,Riptide,Vance Joy,1,31123,55,2009094673.0,300,65,1003,1,0.0,102,C#,Major,1975-01-01,48.0,50.0,73.0,43.0,0.0,15.0,4.0,21.420950046606645,True,0.99
3305,Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2790,30,600976848.0,60,96,71,0,115.0,101,A#,Major,2022-04-22,34.0,32.0,57.0,78.0,0.0,20.0,10.101545253863135,20.214066970958868,False,0.06
3733,Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,267,9,39709092.0,9,6,25,2,72.0,130,F,Major,2023-06-23,63.0,36.0,34.0,76.0,0.0,35.0,9.0,17.497090762252274,False,0.01
2762,Back To December (Taylor's Version),Taylor Swift,1,139,17,39228929.0,16,72,5,0,8.0,142,D,Major,2023-07-07,50.0,20.0,64.0,1.0,0.0,12.0,3.0,17.484925042769156,False,0.01
3466,STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,17050,36,2665343922.0,492,99,798,31,0.0,170,C#,Major,2021-07-09,59.0,48.0,76.0,4.0,0.0,10.0,5.0,21.703598938020118,True,0.98
2044,El Merengue,"Marshmello, Manuel Turizo",2,2114,44,223633238.0,80,75,110,11,323.0,124,G#,Minor,2023-03-03,66.94701986754967,70.0,68.0,3.0,1.0,11.0,4.0,19.225517942043485,False,0.04
2690,Someone You Loved,Lewis Capaldi,1,17836,53,2887241814.0,440,125,1800,0,0.0,110,C#,Major,2018-11-08,50.0,45.0,41.0,75.0,0.0,11.0,3.0,21.783567494077975,True,0.99
